Species,Density_stotmata,Length_stomata,Width_stomata,leaf_area,Length_petiole
Adiantum_humile,62.11,20.14,15.25,0,0
Alsophila_sp1,70.39,26,11.99,625.061,50.269
Amauropelta_caucaensis,120.08,23.29,19.07,52.193,34.443
Amauropelta_pachyrachis,120.08,20.2,14.6,138.79,6.486
Ananthacorus_angustifolius,33.13,86.3,36.68,5.81368746,1.058666667
Asplenium_cf_laetum,53.83,28.08,15.57,76.6760478,18.686
Asplenium_cf_miradorense,49.69,20.91,11.5,43.26333358,6.942
Asplenium_juglandifolium,37.27,29.25,15.85,205.3566645,33.4295
Asplenium_pearcei,22.77,25.86,16.53,77.601114,13.5375
Asplenium_serratum,47.62,34.34,17.07,268.7092621,2.004
Asplenium_sp2,37.27,32.56,15.72,33.8684907,8.186
Blechnum_fragile,86.96,22.54,17.07,0,0
Blechnum_sp2,39.34,29.37,16.88,0,0
Campyloneurum_cf_coarctatum,45.55,27.24,14.47,0,0
Campyloneurum_fuscosquamatum,43.48,22.35,18.14,0,0
Campyloneurum_phyllitidis,41.41,21.8,16.34,0,0
Campyloneurum_sp3,45.55,0,0,0,0
Campyloneurum_sp4,41.41,0,0,0,0
Cyathea_cf_tortuosa,91.1,25.42,13.15,0,0
Cyathea_sp2,153.21,0,0,0,0
Cyathea_sp3,149.07,16.51,9.46,0,0
Cyathea_sp7,95.24,28.69,16.34,0,0
Cyclodium_meniscioides,49.69,21.31,15.5,0,0
Danaea_moritziana,66.25,22.95,13.14,0,0
Danaea_nodosa,43.48,35.08,15.99,0,0
Dennstaedtia_obstusifolia,62.8,23.57,12.91,393.0857143,29.60114286
Diplazium_cf_aberrans,49.69,33.63,20.76,292.056,27.126
Diplazium_pinnatifidum,28.99,32.87,20.28,305.965,27.024
Diplazium_tungurahuae,74.19,31.23,21.76,441.2426,39.5748
Elaphoglossum_cf_latifolium,51.24,41.31,29.45,44.48175,12.252125
Elaphoglossum_cf_nigrescens,66.25,19.43,14.32,28.786,12.618
Elaphoglossum_flaccidum,33.13,26.83,17.21,16.224,1.723
Elaphoglossum_gayanum,41.41,26.13,22.47,2.865,2.421
Elaphoglossum_luridum,64.18,23.71,17.4,74.1135,12.23
Elaphoglossum_ovatum,78.67,23.51,18.36,6.861,5.032
Elaphoglossum_plumosum,76.6,26.04,14.44,38.4535,9.932
Elaphoglossum_sp4,41.41,33.25,20.59,13.793,5.104
Elaphoglossum_sp7,45.55,26.52,19.44,6.025,1.874
Elaphoglossum_wardiae,144.93,15.12,18.05,7.298,13.654
Elaphoglossum_yatesii,103.52,22.32,18.02,27.35,22.757
Lindsaea_divaricata,20.7,28.87,13.52,146.894,26.928
Lomariocycas_aurata,62.11,41.63,22.68,0,0
Melpomene_flabelliformis,72.46,26.55,22.23,4.936,3.4115
Melpomene_zempoaltepetlensis,53.83,27.83,23.05,8.906,4.081
Mickelia_lindigii,45.55,22.6,12.18,219.1814987,26.6965
Microgramma_dictyophylla,60.04,24.54,16.29,11.9234889,2.7305
Microgramma_percussa,74.53,22.02,16.1,42.665,5.062
Microgramma_sp1,24.84,65.77,40.83,3.20029347,2.037
Microgramma_sp2,74.53,20.84,14.24,8.43580454,2.671
Microgramma_sp3,53.83,19.52,12.93,2.2479694,0.435
Microgramma_sp4,33.13,22.89,15.96,15.948,2.257
Nephrolepsis_rivularis,29.68,35.54,19.58,31.56004997,2.3765
Nephrolepsis_sp1,37.27,23.03,12.25,59.46355202,6.473
Nephrolepsis_sp2,53.83,27.37,17.14,61.78882483,6.375
Nephrolepsis_sp3,41.41,28.34,12.41,32.90890402,3.008
Niphidium_sp1,41.41,26.74,18.61,214.4398285,1.558
Oleandra_articulata,57.97,19.56,12.42,7.872,1.065
Olfersia_cervina,39.34,36.14,22.01,58.218,25.4315
Pecluma_consimilis,49.69,32.43,22.98,27.431,0.954
Polybotrya_caudata,62.11,21.43,11.88,249.278,28.53
Polybotrya_crassirhizoma,57.97,45.78,33.65,46.977,18.851
Polybotrya_osmundaceae,55.21,25.55,15.62,149.4288571,17.23171429
Polypodium_sp2,37.27,20.51,14.48,44.579,3.404
Polytaenium_citrifolium,18.63,44.13,24.79,0,0
Pteridium_sp1,173.91,22.81,16.34,232.516,2.952
Pteris_sp1,53.83,24.01,12.75,128.786,11.316
Pteris_sp2,41.41,27.09,17.28,602.603,58.252
Saccoloma_sp2,62.11, , ,89.65540486,16.502
Salpichlaena_papyrus,35.2,35.13,17.07,306.3171927,28.92666667
Selaginella_sp2,306.42,13.7,9.12,182.1328035,33.331
Serpocaulon_adnatum,55.21,19.77,13.3,170.2216525,22.042
Serpocaulon_caceresii,61.42,23.35,16.05,193.2950638,21.04425
Serpocaulon_concolorum,28.99,45.1,26.59,54.85546818,19.335
Serpocaulon_dasypleuron,47.62, , ,47.63991104,4.4225
Serpocaulon_fraxinifolium,66.25,20.34,14.87,193.6647288,34.114
Serpocaulon_maritimum,62.11,18.59,12.61,400.2746332,11.664
Serpocaulon_sp1,49.69,25.13,15.42, , 
Stigmatopteris_pellucidopunctata,161.49,20.19,11.13,786.3271475,85.949
Tectaria_andina,68.32,19.91,12.04,270.6554283,44.26133333
Tectaria_sp3,28.99, , ,108.771,13.927
Thelypteris_arborescens,196.69,17.91,9.28,261.3016667,42.40266667
Thelypteris_pennata,194.62,14.11,7.94,175.435,35.127
Thelypteris_sp1,132.51,15.19,8.06,132.357,30.001
Thelypteris_sp2,82.82,15.59,8.39,103.546,19.777
